name,page
Prologue,1
Jaime,15
Catelyn,27
Arya,35
Tyrion,43
Davos,54
Sansa,61
Jon,74
Daenerys,86
Bran,100
Davos,109
Jaime,120
Tyrion,132
Arya,142
Catelyn,155
Jon,166
Sansa,181
Samwell,195
Tyrion,209
Catelyn,225
Jaime,235
Arya,244
Daenerys,257
Bran,274
Davos,285
Jon,294
Daenerys,304
Sansa,316
Arya,327
Jon,336
Jaime,342
Tyrion,352
Samwell,365
Arya,381
Catelyn ,392
Davos,404
Jaime,416
Tyrion,426
Arya,439
Bran,452
Daenerys,473
Arya,489
Jaime,500
Catelyn,514
Samwell,528
Arya,537
Jon,546
Catelyn,555
Arya,568
Catelyn,574
Arya ,584
Tyrion,588
Jon,610
Bran,624
Daenerys,639
Tyrion,654
Sansa,659
Tyrion,667
Sansa,685
Jaime,693
Davos,705
Jon,714
Arya,726
Tyrion,735
Jaime,750
Sansa,762
Jon,778
Tyrion,789
Daenerys,803
Jaime,818
Jon,830
Arya,843
Samwell,855
Jon,864
Tyrion,871
Samwell,881
Jon,891
Sansa,900
Epilogue,915
